avg_time_from_creation_completion,cores,first_completion_time,first_creation_time,job_count,job_duration,kueue_priority,kueue_queue,last_completion_time,last_creation_time,median_time_from_creation_completion,namespace,ram,std_dev_time_from_creation_completion,storage,timestamp,total_execution_time,total_time_from_first_creation_to_last_completion,use_kueue
7.5,1,2026-03-05T06:46:25+00:00,2026-03-05T06:46:18+00:00,2,1,,,2026-03-05T06:46:26+00:00,2026-03-05T06:46:18+00:00,7.5,skaha-workload,1,0.7071067811865476,1,20260304-224618,8.04205584526062,8.0,False
4.0,1,2026-03-05T06:46:34+00:00,2026-03-05T06:46:31+00:00,2,1,high,skaha-local-queue,2026-03-05T06:46:36+00:00,2026-03-05T06:46:31+00:00,4.0,skaha-workload,1,1.4142135623730951,1,20260304-224631,5.086019992828369,5.0,True
4.75,1,2026-03-05T06:46:45+00:00,2026-03-05T06:46:41+00:00,4,1,,,2026-03-05T06:46:46+00:00,2026-03-05T06:46:41+00:00,5.0,skaha-workload,1,0.5,1,20260304-224641,5.309128999710083,5.0,False
4.5,1,2026-03-05T06:46:56+00:00,2026-03-05T06:46:52+00:00,4,1,high,skaha-local-queue,2026-03-05T06:46:57+00:00,2026-03-05T06:46:52+00:00,4.5,skaha-workload,1,0.5773502691896257,1,20260304-224651,5.39406418800354,5.0,True
8.125,1,2026-03-05T06:47:09+00:00,2026-03-05T06:47:02+00:00,8,1,,,2026-03-05T06:47:12+00:00,2026-03-05T06:47:02+00:00,8.0,skaha-workload,1,1.246423454758225,1,20260304-224702,10.242514848709106,10.0,False
6.375,1,2026-03-05T06:47:23+00:00,2026-03-05T06:47:17+00:00,8,1,high,skaha-local-queue,2026-03-05T06:47:25+00:00,2026-03-05T06:47:18+00:00,6.0,skaha-workload,1,0.5175491695067657,1,20260304-224717,7.8778510093688965,8.0,True
10.1875,1,2026-03-05T06:47:40+00:00,2026-03-05T06:47:31+00:00,16,1,,,2026-03-05T06:47:46+00:00,2026-03-05T06:47:33+00:00,10.0,skaha-workload,1,1.4244882121894398,1,20260304-224730,16.349308013916016,15.0,False
7.5,1,2026-03-05T06:46:25+00:00,2026-03-05T06:46:18+00:00,2,1,,,2026-03-05T06:46:26+00:00,2026-03-05T06:46:18+00:00,7.5,skaha-workload,1,0.7071067811865476,1,20260304-224618,8.04205584526062,8.0,False
4.0,1,2026-03-05T06:46:34+00:00,2026-03-05T06:46:31+00:00,2,1,high,skaha-local-queue,2026-03-05T06:46:36+00:00,2026-03-05T06:46:31+00:00,4.0,skaha-workload,1,1.4142135623730951,1,20260304-224631,5.086019992828369,5.0,True
4.75,1,2026-03-05T06:46:45+00:00,2026-03-05T06:46:41+00:00,4,1,,,2026-03-05T06:46:46+00:00,2026-03-05T06:46:41+00:00,5.0,skaha-workload,1,0.5,1,20260304-224641,5.309128999710083,5.0,False
4.5,1,2026-03-05T06:46:56+00:00,2026-03-05T06:46:52+00:00,4,1,high,skaha-local-queue,2026-03-05T06:46:57+00:00,2026-03-05T06:46:52+00:00,4.5,skaha-workload,1,0.5773502691896257,1,20260304-224651,5.39406418800354,5.0,True
8.125,1,2026-03-05T06:47:09+00:00,2026-03-05T06:47:02+00:00,8,1,,,2026-03-05T06:47:12+00:00,2026-03-05T06:47:02+00:00,8.0,skaha-workload,1,1.246423454758225,1,20260304-224702,10.242514848709106,10.0,False
6.375,1,2026-03-05T06:47:23+00:00,2026-03-05T06:47:17+00:00,8,1,high,skaha-local-queue,2026-03-05T06:47:25+00:00,2026-03-05T06:47:18+00:00,6.0,skaha-workload,1,0.5175491695067657,1,20260304-224717,7.8778510093688965,8.0,True
10.1875,1,2026-03-05T06:47:40+00:00,2026-03-05T06:47:31+00:00,16,1,,,2026-03-05T06:47:46+00:00,2026-03-05T06:47:33+00:00,10.0,skaha-workload,1,1.4244882121894398,1,20260304-224730,16.349308013916016,15.0,False
11.0,1,2026-03-05T06:48:01+00:00,2026-03-05T06:47:52+00:00,16,1,high,skaha-local-queue,2026-03-05T06:48:06+00:00,2026-03-05T06:47:54+00:00,11.5,skaha-workload,1,1.3662601021279464,1,20260304-224752,14.306369066238403,14.0,True
7.5,1,2026-03-05T06:46:25+00:00,2026-03-05T06:46:18+00:00,2,1,,,2026-03-05T06:46:26+00:00,2026-03-05T06:46:18+00:00,7.5,skaha-workload,1,0.7071067811865476,1,20260304-224618,8.04205584526062,8.0,False
4.0,1,2026-03-05T06:46:34+00:00,2026-03-05T06:46:31+00:00,2,1,high,skaha-local-queue,2026-03-05T06:46:36+00:00,2026-03-05T06:46:31+00:00,4.0,skaha-workload,1,1.4142135623730951,1,20260304-224631,5.086019992828369,5.0,True
4.75,1,2026-03-05T06:46:45+00:00,2026-03-05T06:46:41+00:00,4,1,,,2026-03-05T06:46:46+00:00,2026-03-05T06:46:41+00:00,5.0,skaha-workload,1,0.5,1,20260304-224641,5.309128999710083,5.0,False
4.5,1,2026-03-05T06:46:56+00:00,2026-03-05T06:46:52+00:00,4,1,high,skaha-local-queue,2026-03-05T06:46:57+00:00,2026-03-05T06:46:52+00:00,4.5,skaha-workload,1,0.5773502691896257,1,20260304-224651,5.39406418800354,5.0,True
8.125,1,2026-03-05T06:47:09+00:00,2026-03-05T06:47:02+00:00,8,1,,,2026-03-05T06:47:12+00:00,2026-03-05T06:47:02+00:00,8.0,skaha-workload,1,1.246423454758225,1,20260304-224702,10.242514848709106,10.0,False
6.375,1,2026-03-05T06:47:23+00:00,2026-03-05T06:47:17+00:00,8,1,high,skaha-local-queue,2026-03-05T06:47:25+00:00,2026-03-05T06:47:18+00:00,6.0,skaha-workload,1,0.5175491695067657,1,20260304-224717,7.8778510093688965,8.0,True
10.1875,1,2026-03-05T06:47:40+00:00,2026-03-05T06:47:31+00:00,16,1,,,2026-03-05T06:47:46+00:00,2026-03-05T06:47:33+00:00,10.0,skaha-workload,1,1.4244882121894398,1,20260304-224730,16.349308013916016,15.0,False
11.0,1,2026-03-05T06:48:01+00:00,2026-03-05T06:47:52+00:00,16,1,high,skaha-local-queue,2026-03-05T06:48:06+00:00,2026-03-05T06:47:54+00:00,11.5,skaha-workload,1,1.3662601021279464,1,20260304-224752,14.306369066238403,14.0,True
13.09375,1,2026-03-05T06:48:19+00:00,2026-03-05T06:48:11+00:00,32,1,,,2026-03-05T06:48:36+00:00,2026-03-05T06:48:19+00:00,13.0,skaha-workload,1,4.191845963372838,1,20260304-224811,25.108778953552246,25.0,False
7.5,1,2026-03-05T06:46:25+00:00,2026-03-05T06:46:18+00:00,2,1,,,2026-03-05T06:46:26+00:00,2026-03-05T06:46:18+00:00,7.5,skaha-workload,1,0.7071067811865476,1,20260304-224618,8.04205584526062,8.0,False
4.0,1,2026-03-05T06:46:34+00:00,2026-03-05T06:46:31+00:00,2,1,high,skaha-local-queue,2026-03-05T06:46:36+00:00,2026-03-05T06:46:31+00:00,4.0,skaha-workload,1,1.4142135623730951,1,20260304-224631,5.086019992828369,5.0,True
4.75,1,2026-03-05T06:46:45+00:00,2026-03-05T06:46:41+00:00,4,1,,,2026-03-05T06:46:46+00:00,2026-03-05T06:46:41+00:00,5.0,skaha-workload,1,0.5,1,20260304-224641,5.309128999710083,5.0,False
4.5,1,2026-03-05T06:46:56+00:00,2026-03-05T06:46:52+00:00,4,1,high,skaha-local-queue,2026-03-05T06:46:57+00:00,2026-03-05T06:46:52+00:00,4.5,skaha-workload,1,0.5773502691896257,1,20260304-224651,5.39406418800354,5.0,True
8.125,1,2026-03-05T06:47:09+00:00,2026-03-05T06:47:02+00:00,8,1,,,2026-03-05T06:47:12+00:00,2026-03-05T06:47:02+00:00,8.0,skaha-workload,1,1.246423454758225,1,20260304-224702,10.242514848709106,10.0,False
6.375,1,2026-03-05T06:47:23+00:00,2026-03-05T06:47:17+00:00,8,1,high,skaha-local-queue,2026-03-05T06:47:25+00:00,2026-03-05T06:47:18+00:00,6.0,skaha-workload,1,0.5175491695067657,1,20260304-224717,7.8778510093688965,8.0,True
10.1875,1,2026-03-05T06:47:40+00:00,2026-03-05T06:47:31+00:00,16,1,,,2026-03-05T06:47:46+00:00,2026-03-05T06:47:33+00:00,10.0,skaha-workload,1,1.4244882121894398,1,20260304-224730,16.349308013916016,15.0,False
11.0,1,2026-03-05T06:48:01+00:00,2026-03-05T06:47:52+00:00,16,1,high,skaha-local-queue,2026-03-05T06:48:06+00:00,2026-03-05T06:47:54+00:00,11.5,skaha-workload,1,1.3662601021279464,1,20260304-224752,14.306369066238403,14.0,True
13.09375,1,2026-03-05T06:48:19+00:00,2026-03-05T06:48:11+00:00,32,1,,,2026-03-05T06:48:36+00:00,2026-03-05T06:48:19+00:00,13.0,skaha-workload,1,4.191845963372838,1,20260304-224811,25.108778953552246,25.0,False
14.90625,1,2026-03-05T06:48:52+00:00,2026-03-05T06:48:42+00:00,32,1,high,skaha-local-queue,2026-03-05T06:49:11+00:00,2026-03-05T06:48:54+00:00,14.0,skaha-workload,1,4.372637611032882,1,20260304-224842,29.163997173309326,29.0,True
7.5,1,2026-03-05T06:46:25+00:00,2026-03-05T06:46:18+00:00,2,1,,,2026-03-05T06:46:26+00:00,2026-03-05T06:46:18+00:00,7.5,skaha-workload,1,0.7071067811865476,1,20260304-224618,8.04205584526062,8.0,False
4.0,1,2026-03-05T06:46:34+00:00,2026-03-05T06:46:31+00:00,2,1,high,skaha-local-queue,2026-03-05T06:46:36+00:00,2026-03-05T06:46:31+00:00,4.0,skaha-workload,1,1.4142135623730951,1,20260304-224631,5.086019992828369,5.0,True
4.75,1,2026-03-05T06:46:45+00:00,2026-03-05T06:46:41+00:00,4,1,,,2026-03-05T06:46:46+00:00,2026-03-05T06:46:41+00:00,5.0,skaha-workload,1,0.5,1,20260304-224641,5.309128999710083,5.0,False
4.5,1,2026-03-05T06:46:56+00:00,2026-03-05T06:46:52+00:00,4,1,high,skaha-local-queue,2026-03-05T06:46:57+00:00,2026-03-05T06:46:52+00:00,4.5,skaha-workload,1,0.5773502691896257,1,20260304-224651,5.39406418800354,5.0,True
8.125,1,2026-03-05T06:47:09+00:00,2026-03-05T06:47:02+00:00,8,1,,,2026-03-05T06:47:12+00:00,2026-03-05T06:47:02+00:00,8.0,skaha-workload,1,1.246423454758225,1,20260304-224702,10.242514848709106,10.0,False
6.375,1,2026-03-05T06:47:23+00:00,2026-03-05T06:47:17+00:00,8,1,high,skaha-local-queue,2026-03-05T06:47:25+00:00,2026-03-05T06:47:18+00:00,6.0,skaha-workload,1,0.5175491695067657,1,20260304-224717,7.8778510093688965,8.0,True
10.1875,1,2026-03-05T06:47:40+00:00,2026-03-05T06:47:31+00:00,16,1,,,2026-03-05T06:47:46+00:00,2026-03-05T06:47:33+00:00,10.0,skaha-workload,1,1.4244882121894398,1,20260304-224730,16.349308013916016,15.0,False
11.0,1,2026-03-05T06:48:01+00:00,2026-03-05T06:47:52+00:00,16,1,high,skaha-local-queue,2026-03-05T06:48:06+00:00,2026-03-05T06:47:54+00:00,11.5,skaha-workload,1,1.3662601021279464,1,20260304-224752,14.306369066238403,14.0,True
13.09375,1,2026-03-05T06:48:19+00:00,2026-03-05T06:48:11+00:00,32,1,,,2026-03-05T06:48:36+00:00,2026-03-05T06:48:19+00:00,13.0,skaha-workload,1,4.191845963372838,1,20260304-224811,25.108778953552246,25.0,False
14.90625,1,2026-03-05T06:48:52+00:00,2026-03-05T06:48:42+00:00,32,1,high,skaha-local-queue,2026-03-05T06:49:11+00:00,2026-03-05T06:48:54+00:00,14.0,skaha-workload,1,4.372637611032882,1,20260304-224842,29.163997173309326,29.0,True
18.46875,1,2026-03-05T06:49:25+00:00,2026-03-05T06:49:16+00:00,64,1,,,2026-03-05T06:50:04+00:00,2026-03-05T06:49:40+00:00,13.0,skaha-workload,1,10.61590413647941,1,20260304-224916,48.23561096191406,48.0,False
7.5,1,2026-03-05T06:46:25+00:00,2026-03-05T06:46:18+00:00,2,1,,,2026-03-05T06:46:26+00:00,2026-03-05T06:46:18+00:00,7.5,skaha-workload,1,0.7071067811865476,1,20260304-224618,8.04205584526062,8.0,False
4.0,1,2026-03-05T06:46:34+00:00,2026-03-05T06:46:31+00:00,2,1,high,skaha-local-queue,2026-03-05T06:46:36+00:00,2026-03-05T06:46:31+00:00,4.0,skaha-workload,1,1.4142135623730951,1,20260304-224631,5.086019992828369,5.0,True
4.75,1,2026-03-05T06:46:45+00:00,2026-03-05T06:46:41+00:00,4,1,,,2026-03-05T06:46:46+00:00,2026-03-05T06:46:41+00:00,5.0,skaha-workload,1,0.5,1,20260304-224641,5.309128999710083,5.0,False
4.5,1,2026-03-05T06:46:56+00:00,2026-03-05T06:46:52+00:00,4,1,high,skaha-local-queue,2026-03-05T06:46:57+00:00,2026-03-05T06:46:52+00:00,4.5,skaha-workload,1,0.5773502691896257,1,20260304-224651,5.39406418800354,5.0,True
8.125,1,2026-03-05T06:47:09+00:00,2026-03-05T06:47:02+00:00,8,1,,,2026-03-05T06:47:12+00:00,2026-03-05T06:47:02+00:00,8.0,skaha-workload,1,1.246423454758225,1,20260304-224702,10.242514848709106,10.0,False
6.375,1,2026-03-05T06:47:23+00:00,2026-03-05T06:47:17+00:00,8,1,high,skaha-local-queue,2026-03-05T06:47:25+00:00,2026-03-05T06:47:18+00:00,6.0,skaha-workload,1,0.5175491695067657,1,20260304-224717,7.8778510093688965,8.0,True
10.1875,1,2026-03-05T06:47:40+00:00,2026-03-05T06:47:31+00:00,16,1,,,2026-03-05T06:47:46+00:00,2026-03-05T06:47:33+00:00,10.0,skaha-workload,1,1.4244882121894398,1,20260304-224730,16.349308013916016,15.0,False
11.0,1,2026-03-05T06:48:01+00:00,2026-03-05T06:47:52+00:00,16,1,high,skaha-local-queue,2026-03-05T06:48:06+00:00,2026-03-05T06:47:54+00:00,11.5,skaha-workload,1,1.3662601021279464,1,20260304-224752,14.306369066238403,14.0,True
13.09375,1,2026-03-05T06:48:19+00:00,2026-03-05T06:48:11+00:00,32,1,,,2026-03-05T06:48:36+00:00,2026-03-05T06:48:19+00:00,13.0,skaha-workload,1,4.191845963372838,1,20260304-224811,25.108778953552246,25.0,False
14.90625,1,2026-03-05T06:48:52+00:00,2026-03-05T06:48:42+00:00,32,1,high,skaha-local-queue,2026-03-05T06:49:11+00:00,2026-03-05T06:48:54+00:00,14.0,skaha-workload,1,4.372637611032882,1,20260304-224842,29.163997173309326,29.0,True
18.46875,1,2026-03-05T06:49:25+00:00,2026-03-05T06:49:16+00:00,64,1,,,2026-03-05T06:50:04+00:00,2026-03-05T06:49:40+00:00,13.0,skaha-workload,1,10.61590413647941,1,20260304-224916,48.23561096191406,48.0,False
16.828125,1,2026-03-05T06:50:19+00:00,2026-03-05T06:50:10+00:00,64,1,high,skaha-local-queue,2026-03-05T06:51:02+00:00,2026-03-05T06:50:40+00:00,13.5,skaha-workload,1,9.476042787195608,1,20260304-225010,51.494117975234985,52.0,True
